Nº Pedido,Cód. Cliente,CNPJ,Nome Cliente,Grupo Cliente,Região,Endereço Completo,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Janela de Descarga,Anomalia
3740911,213789,22893182000100,Puro Sabor Serviços De Alimentação Ltda,Nenhum,Americana,"Rua Seriemas, Das, 550, Vila Mathiesen, Americana, São Paulo",11,220.0,-22.7679745,-47.3267778,30,0
3740545,194237,02702956000160,Supermercado Pernambuco Ltda,Nenhum,Araçoiaba da Serra,"Rua Professor Toledo, 194, Centro, Araçoiaba Da Serra, São Paulo",16,310.0,-23.5050525,-47.6182181,30,0
3740588,12505,03922786000192,Convem Supermercados Ltda.,Convém,Atibaia,"Avenida Walter Engracia De Oliveira, 39, Estancia Lynce, Atibaia, São Paulo",4,75.0,-23.1248363,-46.5514725,30,0
3740637,11998,05927276000133,Mitsue Watanabe Supermercado,Rede Big,Atibaia,"Avenida São João, 1115, Centro, Atibaia, São Paulo",6,120.0,-23.1132246,-46.5569782,30,0
3740624,12977,09376437000107,W & W Boulevard Comércio De Alim. Ltda.,Rede Big,Atibaia,"Avenida Alfredo André, 905, Jardim Brasil, Atibaia, São Paulo",5,100.0,-23.11694,-46.55028,30,0
3740625,13323,09376437000280,W & W Boulevard Com. Alimentos Ltda,Rede Big,Atibaia,"Rua Adolfo Andre, 100, Centro, Atibaia, São Paulo",6,120.0,-23.1129611,-46.5554752,30,0
3740627,187886,09376437000360,W & W Boulevard Com.De Alimentos Ltda,Rede Big,Atibaia,"Avenida Da Saudade, 61, Centro, Atibaia, São Paulo",6,120.0,-23.1159954,-46.5492865,30,0
3740656,12976,09532081000145,Supermercado Ono Compacto Ltda  Epp,Rede Big,Atibaia,"Rua Nello Bacci, 121, Tanque, Atibaia, São Paulo",6,120.0,-23.0445236,-46.5692836,30,0
3740659,205176,09532081000307,Supermercado Ono Compacto Ltda,Rede Big,Atibaia,"Rua Antonio Cunha Leite, 2458, Portao, Atibaia, São Paulo",6,120.0,-23.2058183,-46.5886085,30,0
3740626,187884,16960314000176,B.S Copacabana Com.De Alimentos Ltda,Rede Big,Atibaia,"Avenida Prefeito Antonio J.Toledo Garcia Lopes, 1525, Jd.Das Cerejeiras, Atibaia, São Paulo",7,135.0,-23.11694,-46.55028,30,0
3740636,187885,16960314000257,B.S Copacabana Com.De Alimentos Ltda,Rede Big,Atibaia,"Rua Japão, 37, Jd.Imperial, Atibaia, São Paulo",6,120.0,-23.11694,-46.55028,30,0
3740890,197000,31881926000167,Superm. Jandira Ltda,Nenhum,Atibaia,"Avenida Dom Pedro Ii, 70, Jardim Imperial, Atibaia, São Paulo",4,80.0,-23.144885,-46.5797268,30,0
3740657,203478,40852213000166,Big Sm Comercio De Alimentos Ltda,Rede Big,Atibaia,"Rua Jaci, 60, Jd Do Lago, Atibaia, São Paulo",5,100.0,-23.11694,-46.55028,30,0
3740544,204962,45578450000102,Center Carnes Quality Ltda,Nenhum,Atibaia,"Avenida Dona Gertrudes, 1127, Alvinopolis, Atibaia, São Paulo",4,80.0,-23.118095,-46.5690266,30,0
3740268,207276,48464281000160,Crispybox Ltda,Nenhum,Atibaia,"Rua Brasil, 171, Atibaia Jardim, Atibaia, São Paulo",6,120.0,-23.1209541,-46.5575287,30,0
3740660,210955,51158802000165,Emporio Flamboyant Comercio De Alimentos,Nenhum,Atibaia,"Avenida Santana, 2813, Nova Gardenia, Atibaia, São Paulo",5,100.0,-23.11694,-46.55028,30,0
3740265,213331,54803962000108,Restaurante Do Queijeiro 4 Ltda,Nenhum,Atibaia,"Rodovia Fernao Dias Km 41,50, S/N, Jardim Do Alvinopolis, Atibaia, São Paulo",12,230.0,-23.11694,-46.55028,30,0
3740646,9888,00063960003973,Wal Mart Do  Brasil Ltda,Sam`S,Barueri,"Avenida Tucunare, 80, Tambore, Barueri, São Paulo",18,360.0,-23.51056,-46.87611,30,0
3740765,9778,02255118000196,Center Carnes Rocha Amorin Ltda-Me,Nenhum,Barueri,"Rua Da Prata, 349, Jardim Dos Camargos, Barueri, São Paulo",5,100.0,-23.5025874,-46.8674979,30,0
3740770,14048,10655452000165,Adneusa Da Paixão Me,Nenhum,Barueri,"Rua Americo Vespucio, 12, Parque Imperial, Barueri, São Paulo",11,210.0,-23.4804833,-46.8052982,30,0
3740397,194851,12038869000104,C.Analia Supermercado Ltda,Nenhum,Osasco,"Rua Alagoinha, 998, Jardim Mutinga, Barueri, São Paulo",12,240.0,-23.5055776,-46.8092969,30,0
3740892,192234,24335023000115,Tamires Regina Batista B.Rodrigues,Nenhum,Barueri,"Rua Padre Cicero Romao Batista, 234, Parque Imperial, Barueri, São Paulo",7,135.0,-23.4886307,-46.8133445,30,0
3740999,215418,53449951000109,Managon Acougue Ltda,Nenhum,Barueri,"Rua Claudio Manoel Da Costa, 43, Parque Imperial, Barueri, São Paulo",5,100.0,-23.4831217,-46.8053765,30,0
3740554,3062,54313374000196,Supermercado Magnata Ltda.,Nenhum,Barueri,"Rua Minas Gerais, 300, Vila Boa Vista, Barueri, São Paulo",11,215.0,-23.5011283,-46.8754334,30,0
3740768,213615,55599022000101,S Ortega Com.Produtos Alimenticios Slu L,Nenhum,Barueri,"Alameda Colibri, 64, Morada Dos Passaros, Barueri, São Paulo",1,20.0,-23.4953736,-46.9513761,30,0
3740399,3837,62590641000109,L.E. Comercio De Carnes Ltda - Me,Nenhum,Barueri,"Avenida Cachoeira, 125, Vl. Pindorama, Barueri, São Paulo",15,300.0,-23.4928532,-46.880312,30,0
3740748,997,67303602000199,Ruth Pereira De Lima Laticinios Me,Nenhum,Barueri,"Avenida Capitão Francisco Cesar, 1217, Engenho Novo, Barueri, São Paulo",7,140.0,-23.51056,-46.87611,30,0
3740119,209833,71676316001975,Supermercados Mambo Ltda.,Mambo,Barueri,"Alameda Rio Negro, 1456, Alphaville Industrial, Barueri, São Paulo",16,320.0,-23.51056,-46.87611,30,0
3740393,199511,21010503001432,Centro De Distrib. Rede Krill Ltda,Krill,Bertioga,"Avenida Anchieta, 2300, Albatroz, Bertioga, São Paulo",3,60.0,-23.8376018,-46.1298621,30,0
3740457,199511,21010503001432,Centro De Distrib. Rede Krill Ltda,Krill,Bertioga,"Avenida Anchieta, 2300, Albatroz, Bertioga, São Paulo",8,160.0,-23.8376018,-46.1298621,30,0
3740389,199507,21010503001785,Centro De Distrbuição Rede Krill Ltda,Krill,Bertioga,"Avenida Aprovada 294, 775, Boraceia, Bertioga, São Paulo",3,60.0,-23.85444,-46.13861,30,0
3740463,199507,21010503001785,Centro De Distrbuição Rede Krill Ltda,Krill,Bertioga,"Avenida Aprovada 294, 775, Boraceia, Bertioga, São Paulo",25,500.0,-23.85444,-46.13861,30,0
3740630,200510,22668523000143,Fabiola M. Haraguti Camargo 27392429809,Nenhum,Biritiba Mirim,"Rua Jose Oliva Melo, 85, Centro, Biritiba-Mirim, São Paulo",8,160.0,-23.5731197,-46.0391715,30,0
3740396,194917,01129624000176,Casa De Carnes Irmãos Rusconi Ltda,Nenhum,Boituva,"Rua Amaro J Andrade, 428, Jd.Maria Paulina, Boituva, São Paulo",14,270.0,-23.28333,-47.67222,30,0
3740016,205634,05897385000155,Rodrigues & Campos Pizzaria Ltda,Nenhum,Boituva,"Rua Joao Leite, 39, Centro, Boituva, São Paulo",5,100.0,-23.2858028,-47.6746236,30,0
3740821,201881,36853255000144,Surana Apª Rodrigues De Campos 396625258,Nenhum,Boituva,"Rua Joao De Camargo, 352, Pq Res Novo Mundo, Boituva, São Paulo",18,350.0,-23.2628736,-47.6716318,30,0
3740342,12438,05690736000152,Angela Emico Honda Mercearia Me,Nenhum,Bom Jesus dos Perdões,"Rua Major Murzilho, 96, Centro, Bom Jesus Dos Perdões, São Paulo",14,280.0,-23.135,-46.46528,30,0
3740589,178735,97536721000152,Supermercado Convem De Perdões Ltda,Convém,Bom Jesus dos Perdões,"Rua 21 De Abril, 470, Centro, Bom Jesus Dos Perdões, São Paulo",4,70.0,-23.135,-46.46528,30,0
3740601,188155,20248913000139,Convem Supermercados De Bragança Ltda,Convém,Bragança Paulista,"Avenida Salvador Markowicz, 339, Lagos De Santa Helena, Bragança Paulista, São Paulo",4,75.0,-22.9806161,-46.5299192,30,0
3740658,201468,35929117000210,Bw Com. Alimentos Ltda,Rede Big,Bragança Paulista,"Avenida Dos Imigrantes, 2400, Jardim America, Bragança Paulista, São Paulo",6,120.0,-22.9521237,-46.546414,30,0
3740521,187998,11971667000158,J.J.S Comercial De Alimentos Ltda-Me,Nenhum,Cabreúva,"Avenida Major Antonio Da Silveira Camargo, 148, Centro, Cabreúva, São Paulo",6,100.0,-23.3086055,-47.1295799,30,0
3740444,194177,27461192000190,Casa Carnes Mendes E Gonçalves Ltda - Me,Nenhum,Cabreúva,"Avenida Paschoal Santi, 957, Vilarejo, Cabreúva, São Paulo",11,207.0,-23.2828843,-47.0587768,30,0
3740359,204079,43290707000192,Cgf Calimerio Garcia Filho Ltda,Nenhum,Cabreúva,"Rua Antonio Furquim, 220, Jacare, Cabreúva, São Paulo",3,60.0,-23.2460826,-47.0575519,30,0
3740958,208033,44627773000178,Jrm Produtos Alimenticios Ltda,Nenhum,Cabreúva,"Avenida Vereador Jose Donato, 1193, Vilarejo, Cabreúva, São Paulo",7,140.0,-23.2440302,-47.0573721,30,0
3740688,13006,50948371000682,Irmãos Boa  Ltda,Irmãos Boa,Cabreúva,"Rua Maranhao, 256, Jacaré, Cabreúva, São Paulo",13,260.0,-23.2495822,-47.0561778,30,0
3740257,210071,51578571000149,Super Cm Compre Mais Supermercado Ltda,Nenhum,Cabreúva,"Avenida Vereador Jose Donato, 1385, Vilarejo, Cabreúva, São Paulo",10,200.0,-23.275325,-47.0495177,30,0
3740437,215104,59007557000105,Amigo Churrasqueiro Comercio De Carnes L,Nenhum,Cabreúva,"Rua Marechal Deodoro Da Fonseca, 240, Centro, Cabreúva, São Paulo",5,90.0,-23.3069129,-47.1334429,30,0
3740236,210137,66888595000503,Supermercado Servidao Ltda,Rede Servidão,Caieiras,"Rua Jose Do Carmo Leite, 104, Centro, Caieiras, São Paulo",3,60.0,-23.36417,-46.74056,30,0
3740553,161901,05422192000148,Supermercado Central Cajamar Ltda,Nenhum,Cajamar,"Praça Benedito Martins Da Cruz, 20, Centro, Cajamar, São Paulo",7,140.0,-23.35611,-46.87694,30,0
3740809,156981,08815800000172,N & N Comercio De Alimentos Ltda,Nenhum,Cajamar,"Avenida Tenente Marques, 4131, Ipes (Polvilho), Cajamar, São Paulo",5,100.0,-23.4094528,-46.8418675,30,0
3740739,201474,11628012000181,Açougue Das Meninas Dalcin Ltda,Nenhum,Cajamar,"Rua Jose Luiz Leme Maciel, 68, Jordanesia, Cajamar, São Paulo",6,120.0,-23.335462,-46.8284617,30,0
3740898,954,43488980000126,Casa De Carnes Dalcin Ltda,Nenhum,Cajamar,"Rua Prefeito Antonio Garrido, 252, Jordanesia, Cajamar, São Paulo",20,400.0,-23.3362606,-46.8392834,30,0
3740518,13759,06342246000128,Irene Lucia Pereira,Nenhum,Cajati,"Rua Joao Felizardo, 477, Vila Antunes, Cajati, São Paulo",8,160.0,-24.7333484,-48.1094422,30,0
3740350,202109,21138006000108,R.M Muniz E Carneiro Carnes Ltda,Nenhum,Cajati,"Rua Chile, 250, Jd.Cardoso De Freitas, Cajati, São Paulo",31,620.0,-24.7204053,-48.0979843,30,0
3740240,211870,39324707000199,Suely Martins De Oliveira Ltda,Nenhum,Cajati,"Rua Indiara, 375, Jd.Ana Maria, Cajati, São Paulo",15,300.0,-24.7404227,-48.121226,30,0
3740758,208151,48922738000132,Central Carnes Aj Ltda,Nenhum,Cajati,"Avenida Dr. Fernando Costa, 282, Centro, Cajati, São Paulo",12,240.0,-24.73611,-48.12278,30,0
3740239,4822,61721734000154,José Rodrigues Merceria Me,Nenhum,Cajati,"Avenida Fernando Costa, 2143, Parafuso, Cajati, São Paulo",8,160.0,-24.7285814,-48.1171308,30,0
3740300,190371,02022595000101,Rio Das Pedras Com. De Hortifrutigranjei,Nenhum,Campinas,"Rua Doutor Alberto Gallo, 226, Cidade Universitaria Ii, Campinas, São Paulo",5,100.0,-22.90556,-47.06083,30,0
3740985,200568,51033629000179,Proença Com. De Hortifruti Ltda,Nenhum,Campinas,"Avenida Ayrton Senna Da Silva, 450, Vila Jaquitibas, Campinas, São Paulo",6,120.0,-22.90556,-47.06083,30,0
3740483,200044,53343661000186,Casa Carnes Natan Ltda,Nenhum,Campinas,"Rua Nicaragua, 307, N Europa, Campinas, São Paulo",8,155.0,-22.932135,-47.0672406,30,0
3740178,214961,57174248000196,Fazenda Campineira Restaurante Ltda,Divino Fogão,Campinas,"Avenida Iguatemi, 777, Vila Brandina, Campinas, São Paulo",4,80.0,-22.8924024,-47.0272094,30,0
3740992,215696,76430438014121,Irmãos Muffato S.A,Rede Muffato,Campinas,"Avenida Ricardo Bassoli Cezare, 1567, Jardim Das Bandeiras, Campinas, São Paulo",34,675.0,-22.9495493,-47.0928675,30,0
3740708,14466,50974732000584,Cooperativa De Consumo Coopercica,Coopercica,Campo Limpo Paulista,"Rua Maria José Rodrigues, 90, Jd.Santa Lucia, Campo Limpo Paulista, São Paulo",18,355.0,-23.2104628,-46.7946342,30,0
3740779,1185,60186376000598,Mercadinho Piratininga Ltda,Piratininga,Campos do Jordão,"Avenida Doutor Januario Miraglia, 608, Vila Jaguaribe, Campos Do Jordão, São Paulo",16,320.0,-22.7437125,-45.5964598,30,0
3740603,10715,03616124000194,Manoel Barbosa De Alencar Me,Nenhum,Cananéia,"Avenida Independencia, 278, Rocio, Cananéia, São Paulo",11,205.0,-25.0069457,-47.9313292,30,0
3740759,13478,09658503000123,Eliane Cristina Fukunaga Araujo Minimerc,Nenhum,Cananéia,"Avenida Miguel De Araujo, 182, Porto Cubatão, Cananéia, São Paulo",6,120.0,-24.97232,-47.94529,30,0
3740382,12118,66609546000152,Supermercado Takagi Ltda Me.,Nenhum,Cananéia,"Avenida Independencia, 1136, Rocio, Cananéia, São Paulo",7,130.0,-25.0069457,-47.9313292,30,0
3739262,11618,61233151001156,Covabra Supermercados Ltda.,Covabra,Capivari,"Avenida Pio Xii, 900, Jardim Porto Alegre, Capivari, São Paulo",19,370.0,-22.995,-47.50778,30,0
3740816,167082,08571723000152,Mercadinho Piratininga De Generos Alimen,Piratininga,Caraguatatuba,"Avenida José Herculano, 7040, Porto Novo, Caraguatatuba, São Paulo",6,120.0,-23.6946544,-45.4422191,30,0
3740987,167082,08571723000152,Mercadinho Piratininga De Generos Alimen,Piratininga,Caraguatatuba,"Avenida José Herculano, 7040, Porto Novo, Caraguatatuba, São Paulo",14,275.0,-23.6946544,-45.4422191,30,0
3740665,193016,01444210000484,Comercio De Alimentos Alves E Farias Ltd,Rede Parana,Carapicuíba,"Estrada Do Copiuva, 1985, Vila Da Oportunidade, Carapicuíba, São Paulo",72,1440.0,-23.5539916,-46.8262051,30,0
3740744,201322,34906898000183,Rosane Da Silva Vieira 19290074850,Nenhum,Carapicuíba,"Rua Ofelia Alves Ferreira, 60, Jardim Yaya, Carapicuíba, São Paulo",8,160.0,-23.5564628,-46.8342566,30,0
3740963,204045,39895236000179,Rcl Merc. Açougue E Padaria Ltda,Rede Don,Carapicuíba,"Estrada Fazendinha, 281, Pousada Dos Bandeirantes, Carapicuíba, São Paulo",15,300.0,-23.52272,-46.835,30,0
